TimeStep Temps_Update Temps_Display Temps_Total
406 0.000127058 0.00562373 43.1779
407 0.000129764 0.00561666 43.2855
408 0.000128191 0.00553396 43.3934
409 0.000128231 0.0056504 43.5014
410 0.000133151 0.00558902 43.6094
411 0.000132769 0.00559839 43.7178
412 0.000136767 0.00561347 43.8258
413 0.000137769 0.00550561 43.9337
414 0.000139162 0.00563129 44.042
415 0.000152236 0.00672552 44.1513
416 0.000148919 0.00564068 44.2584
417 0.000140575 0.00561485 44.3668
418 0.000153449 0.00562211 44.475
419 0.000140514 0.00566224 44.5834
420 0.0001439 0.00564259 44.6917
421 0.000153979 0.00565324 44.8001
422 0.000144021 0.00555218 44.9084
423 0.000150673 0.00553669 45.0168
424 0.000148409 0.00564228 45.1254
425 0.00014916 0.00561314 45.2339
426 0.000149621 0.0056031 45.3423
427 0.000150973 0.00564238 45.4509
428 0.000151765 0.00562624 45.5595
429 0.000154069 0.00566212 45.6681
430 0.000154741 0.00559435 45.7768
431 0.000152116 0.00568288 45.8856
432 0.000156414 0.00560741 45.9943
433 0.000158788 0.00565767 46.1033
434 0.000156604 0.00556847 46.212
435 0.000157907 0.00566616 46.321
436 0.000160842 0.00560622 46.4297
437 0.000160452 0.00551642 46.5386
438 0.000163266 0.00562271 46.6478
439 0.000168236 0.00591434 46.7575
440 0.000171502 0.00590921 46.8666
441 0.000176853 0.00571827 46.9755
442 0.000165351 0.00565831 47.0841
443 0.000176221 0.00557816 47.1931
444 0.000170029 0.00566116 47.3023
445 0.000172203 0.00564224 47.4116
446 0.000171583 0.00565555 47.521
447 0.000174578 0.00567375 47.6306
448 0.000164519 0.00573956 47.74
449 0.000172835 0.00550972 47.8489
450 0.000187211 0.00569501 47.9584
451 0.000179026 0.00558207 48.0676
452 0.000178996 0.00564909 48.1771
453 0.000176232 0.00572215 48.2866
454 0.000179146 0.00575891 48.396
455 0.000182433 0.00562438 48.5052
456 0.000182954 0.00563603 48.6146
457 0.000181942 0.00562558 48.724
458 0.000185458 0.00571807 48.8336
459 0.000179668 0.00553908 48.9424
460 0.000182303 0.00567848 49.0521
461 0.000184617 0.00566509 49.1618
462 0.00018632 0.00567191 49.2714
463 0.000185819 0.00560801 49.3809
464 0.00018646 0.00567295 49.4906
465 0.000200938 0.00564321 49.6003
466 0.000189676 0.00568746 49.7101
467 0.000188715 0.00572284 49.8199
468 0.000190768 0.00581822 49.93
469 0.000194174 0.00582711 50.04
470 0.000193062 0.00584247 50.1498
471 0.000195388 0.00591965 50.2597
472 0.000199726 0.00589838 50.3697
473 0.000223019 0.00617464 50.4798
474 0.000199835 0.00582768 50.5892
475 0.000315643 0.00676437 50.7086
476 0.000199656 0.00570033 50.8173
477 0.000198554 0.00554711 50.9269
478 0.000217098 0.00572145 51.0381
479 0.000221716 0.00583036 51.1493
480 0.000200748 0.00590209 51.2594
481 0.00019698 0.00584119 51.3693
482 0.000202461 0.00546933 51.4789
483 0.000217408 0.00554696 51.5892
484 0.000198463 0.00579423 51.6995
485 0.00020267 0.00555169 51.8094
486 0.000211428 0.00609168 51.9199
487 0.000202921 0.00559955 52.0295
488 0.000202771 0.00551067 52.1394
489 0.000221576 0.0055187 52.2494
490 0.000204705 0.00553718 52.3594
491 0.00020766 0.00561165 52.4695
492 0.000214183 0.00560876 52.5796
493 0.000205526 0.00568169 52.6898
494 0.00021818 0.00585145 52.8013
495 0.000233599 0.00580437 52.9124
496 0.00020779 0.00577428 53.0227
497 0.000204705 0.0058531 53.1328
498 0.000210275 0.00590481 53.243
499 0.000203843 0.00589691 53.353
500 0.000213972 0.00574435 53.463
501 0.000216216 0.00574485 53.573
502 0.000207981 0.00572116 53.683
503 0.000209985 0.00569205 53.7931
504 0.000205727 0.00561824 53.9034
505 0.000206358 0.00568182 54.0135
506 0.000205266 0.00568741 54.1236
507 0.000218771 0.00555919 54.2335
508 0.000202591 0.00556329 54.3435
509 0.000206097 0.00559641 54.4535
510 0.000206017 0.00557198 54.5634
511 0.000207179 0.00564129 54.6739
512 0.000226686 0.00579711 54.7852
513 0.000203883 0.00600605 54.8955
514 0.000230052 0.00577243 55.0069
515 0.000224903 0.00578579 55.1181
516 0.000204704 0.00584836 55.2281
517 0.000209964 0.00591099 55.3383
518 0.000206298 0.0059233 55.4488
519 0.000210285 0.00589152 55.5587
520 0.000205045 0.00610156 55.6689
521 0.0002021 0.00566119 55.7785
522 0.000234571 0.00570033 55.8886
523 0.000204815 0.00560163 55.9984
524 0.000208081 0.00578726 56.1087
525 0.00020228 0.00556889 56.2184
526 0.000206999 0.00549658 56.3283
527 0.000211528 0.00636898 56.439
528 0.000206778 0.00570512 56.5483
529 0.000216557 0.00563728 56.6582
530 0.000192802 0.00576145 56.7682
531 0.000200297 0.00591177 56.8783
532 0.000199525 0.00593401 56.9881
533 0.000198963 0.00585428 57.098
534 0.000196829 0.00588112 57.2078
535 0.000194055 0.00581215 57.3176
536 0.000201399 0.005846 57.4274
537 0.000195247 0.00564851 57.537
538 0.000195247 0.00570198 57.6468
539 0.000189316 0.00572618 57.7566
540 0.000201288 0.00562313 57.8662
541 0.000194356 0.00570006 57.9759
542 0.000191891 0.00574202 58.0856
543 0.000194325 0.00555453 58.1951
544 0.000189176 0.00566435 58.3048
545 0.00019166 0.00567003 58.4145
546 0.000188815 0.00569112 58.5241
547 0.000188715 0.00563276 58.6336
548 0.000187553 0.00563592 58.7431
549 0.000188955 0.00566402 58.8527
550 0.000191711 0.00564236 58.9622
551 0.000187672 0.00566317 59.0717
552 0.000189516 0.00559186 59.1811
553 0.000182814 0.00588927 59.2909
554 0.000182122 0.00580282 59.4002
555 0.000196549 0.00584694 59.5096
556 0.000181281 0.00589999 59.6193
557 0.000190668 0.00589912 59.7286
558 0.000177544 0.00587677 59.8378
559 0.000177023 0.00586438 59.9471
